,dataset,base,method,PM1,PM2,Time,TriesToOpt
43,ecoli,001 knn,006 forward selection,0.7619047619047619,0.7619047619047619,5.025658130645752,0
44,ecoli,001 knn,007 backward selection,0.7619047619047619,0.7619047619047619,2.174152135848999,0
45,ecoli,001 knn,008 stepwise selection,0.7619047619047619,0.7619047619047619,2.506272315979004,0
46,ecoli,001 knn,009 bayesian selection,0.7976190476190477,0.7976190476190477,29.967733144760132,15
47,ecoli,001 knn,013 bayesian weighting,0.8690476190476191,0.8690476190476191,76.31770324707031,73
48,ionosphere,001 knn,000 all,0.8409090909090909,0.8409090909090909,0.0,0
49,ionosphere,000 rf,000 all,0.9772727272727273,0.9772727272727273,0.0,0
50,ionosphere,001 knn,003 feature importance selection,0.6818181818181818,0.6818181818181818,0.1690065860748291,0
51,ionosphere,001 knn,011 feature importance weighting,0.8522727272727273,0.8522727272727273,0.1690065860748291,0
52,ionosphere,001 knn,004 l1,0.8977272727272727,0.8977272727272727,0.003572702407836914,0
53,ionosphere,001 knn,005 relieff selection,0.8636363636363636,0.8636363636363636,0.02120518684387207,0
54,ionosphere,001 knn,012 relieff weighting,0.8977272727272727,0.8977272727272727,0.02120518684387207,0
55,ionosphere,001 knn,006 forward selection,0.8977272727272727,0.8977272727272727,12.188565969467163,0
56,ionosphere,001 knn,007 backward selection,0.8977272727272727,0.8977272727272727,8.106780052185059,0
57,ionosphere,001 knn,008 stepwise selection,0.875,0.875,12.237399816513062,0
58,ionosphere,001 knn,009 bayesian selection,0.9431818181818182,0.9431818181818182,43.646209716796875,45
59,ionosphere,001 knn,013 bayesian weighting,0.9545454545454546,0.9545454545454546,117.2144467830658,77
60,iris,001 knn,000 all,0.8947368421052632,0.8947368421052632,0.0,0
61,iris,000 rf,000 all,0.9473684210526315,0.9473684210526315,0.0,0
62,iris,001 knn,003 feature importance selection,0.9736842105263158,0.9736842105263158,0.1417713165283203,0
63,iris,001 knn,011 feature importance weighting,0.9736842105263158,0.9736842105263158,0.1417713165283203,0
64,iris,001 knn,004 l1,0.9473684210526315,0.9473684210526315,0.0036628246307373047,0
65,iris,001 knn,005 relieff selection,0.9473684210526315,0.9473684210526315,0.032759904861450195,0
66,iris,001 knn,012 relieff weighting,0.9473684210526315,0.9473684210526315,0.032759904861450195,0
67,iris,001 knn,006 forward selection,0.6578947368421053,0.6578947368421053,1.4410407543182373,0
68,iris,001 knn,007 backward selection,0.6578947368421053,0.6578947368421053,1.047863245010376,0
69,iris,001 knn,008 stepwise selection,0.6578947368421053,0.6578947368421053,1.3946545124053955,0
70,iris,001 knn,009 bayesian selection,0.9736842105263158,0.9736842105263158,27.88567066192627,1
71,iris,001 knn,013 bayesian weighting,0.9736842105263158,0.9736842105263158,70.36100673675537,9
72,sonar,001 knn,000 all,0.8076923076923077,0.8076923076923077,0.0,0
73,sonar,000 rf,000 all,0.7692307692307693,0.7692307692307693,0.0,0
74,sonar,001 knn,003 feature importance selection,0.7884615384615384,0.7884615384615384,0.1616966724395752,0
75,sonar,001 knn,011 feature importance weighting,0.6923076923076923,0.6923076923076923,0.1616966724395752,0
76,sonar,001 knn,004 l1,0.6730769230769231,0.6730769230769231,0.004166841506958008,0
77,sonar,001 knn,005 relieff selection,0.6730769230769231,0.6730769230769231,0.015030145645141602,0
78,sonar,001 knn,012 relieff weighting,0.7115384615384616,0.7115384615384616,0.015030145645141602,0
79,sonar,001 knn,006 forward selection,0.6730769230769231,0.6730769230769231,21.26701021194458,0
80,sonar,001 knn,007 backward selection,0.7115384615384616,0.7115384615384616,14.212900400161743,0
81,sonar,001 knn,008 stepwise selection,0.75,0.75,14.203212261199951,0
82,sonar,001 knn,009 bayesian selection,0.7884615384615384,0.7884615384615384,57.90051555633545,58
83,sonar,001 knn,013 bayesian weighting,0.8846153846153846,0.8846153846153846,156.06654572486877,421
