,dataset,base,method,PM1,PM2,Time,TriesToOpt
26,breast_cancer,001 knn,003 feature importance selection,0.9370629370629371,0.9370629370629371,0.16284584999084473,0
27,breast_cancer,001 knn,011 feature importance weighting,0.9230769230769231,0.9230769230769231,0.16284584999084473,0
28,breast_cancer,001 knn,004 l1,0.9300699300699301,0.9300699300699301,0.013639450073242188,0
29,breast_cancer,001 knn,005 relieff selection,0.9370629370629371,0.9370629370629371,0.05504322052001953,0
30,breast_cancer,001 knn,012 relieff weighting,0.9090909090909091,0.9090909090909091,0.05504322052001953,0
31,breast_cancer,001 knn,006 forward selection,0.7132867132867133,0.7132867132867132,11.057225465774536,0
32,breast_cancer,001 knn,007 backward selection,0.9090909090909091,0.9090909090909091,7.228505611419678,0
33,breast_cancer,001 knn,008 stepwise selection,0.9230769230769231,0.9230769230769231,7.34672212600708,0
34,breast_cancer,001 knn,009 bayesian selection,0.951048951048951,0.951048951048951,42.266605615615845,13
35,breast_cancer,001 knn,013 bayesian weighting,0.972027972027972,0.972027972027972,110.96506857872009,129
36,ecoli,001 knn,000 all,0.8452380952380952,0.8452380952380952,0.0,0
37,ecoli,000 rf,000 all,0.9047619047619048,0.9047619047619048,0.0,0
38,ecoli,001 knn,003 feature importance selection,0.8095238095238095,0.8095238095238095,0.1515820026397705,0
39,ecoli,001 knn,011 feature importance weighting,0.8333333333333334,0.8333333333333334,0.1515820026397705,0
40,ecoli,001 knn,004 l1,0.8452380952380952,0.8452380952380952,0.010753393173217773,0
41,ecoli,001 knn,005 relieff selection,0.7976190476190477,0.7976190476190477,0.03721761703491211,0
42,ecoli,001 knn,012 relieff weighting,0.7857142857142857,0.7857142857142857,0.03721761703491211,0
43,ecoli,001 knn,006 forward selection,0.7619047619047619,0.7619047619047619,4.990921258926392,0
44,ecoli,001 knn,007 backward selection,0.75,0.75,1.5498192310333252,0
45,ecoli,001 knn,008 stepwise selection,0.6547619047619048,0.6547619047619048,1.6603546142578125,0
46,ecoli,001 knn,009 bayesian selection,0.7976190476190477,0.7976190476190477,30.062905311584473,6
47,ecoli,001 knn,013 bayesian weighting,0.8452380952380952,0.8452380952380952,76.39944577217102,16
48,ionosphere,001 knn,000 all,0.7954545454545454,0.7954545454545455,0.0,0
49,ionosphere,000 rf,000 all,0.9204545454545454,0.9204545454545455,0.0,0
50,ionosphere,001 knn,003 feature importance selection,0.6590909090909091,0.6590909090909091,0.16582322120666504,0
51,ionosphere,001 knn,011 feature importance weighting,0.8295454545454546,0.8295454545454547,0.16582322120666504,0
52,ionosphere,001 knn,004 l1,0.8636363636363636,0.8636363636363636,0.0036280155181884766,0
53,ionosphere,001 knn,005 relieff selection,0.8295454545454546,0.8295454545454547,0.04014754295349121,0
54,ionosphere,001 knn,012 relieff weighting,0.8977272727272727,0.8977272727272727,0.04014754295349121,0
55,ionosphere,001 knn,006 forward selection,0.8863636363636364,0.8863636363636365,12.184986114501953,0
56,ionosphere,001 knn,007 backward selection,0.8977272727272727,0.8977272727272727,15.757849216461182,0
57,ionosphere,001 knn,008 stepwise selection,0.8977272727272727,0.8977272727272727,24.51813244819641,0
58,ionosphere,001 knn,009 bayesian selection,0.9204545454545454,0.9204545454545455,44.343382835388184,2
