cycle,task,method,instances,features,classes,accuracy,f1,optimization_time,prediction_time,no_features,best_trial
1,23,stepwise_selection,1473,9,3,0.49321266968325794,0.46905683235544976,0.37688207626342773,0.021302461624145508,6,0
1,23,bayesselection,1473,9,3,0.5271493212669683,0.49213774968030116,6.884606122970581,0.017466068267822266,3,170
1,23,bayeswweighting,1473,9,3,0.5475113122171946,0.5154977004168771,18.752991676330566,0.023235559463500977,9,414
1,28,baseline,5620,64,10,0.950207468879668,0.9497974170015043,7.152557373046875e-07,0.23632526397705078,64,0
1,28,intercorrelation_filter,5620,64,10,0.950207468879668,0.9498292943548219,0.10571742057800293,0.24265265464782715,63,0
1,28,correlation_weighting,5620,64,10,0.915826911677534,0.9149384741836574,0.10571742057800293,0.2732253074645996,63,0
1,28,tree_based_filter,5620,64,10,0.8802608180201541,0.8789257814990299,0.4786057472229004,0.22466039657592773,32,0
1,28,tree_based_weighting,5620,64,10,0.8879668049792531,0.8862714325794638,0.4786057472229004,0.22861719131469727,32,0
1,28,l1filter,5620,64,10,0.9549496147006521,0.954559670220313,0.3993706703186035,0.22518444061279297,52,0
1,28,relieff,5620,64,10,0.9146413752222881,0.9142113513658238,1.0869009494781494,0.23787879943847656,48,0
1,28,relieff_weighting,5620,64,10,0.8915234143449912,0.8907851354639196,1.0869009494781494,0.26149964332580566,48,0
1,28,forward_selection,5620,64,10,0.9110847658565501,0.9100385534163168,48.745893239974976,0.13640975952148438,11,0
1,28,backwards_selection,5620,64,10,0.950800237107291,0.9503857701432243,19.74471402168274,0.2516355514526367,63,0
1,28,stepwise_selection,5620,64,10,0.9235328986366331,0.922896705378134,29.127466440200806,0.2526357173919678,34,0
1,28,bayesselection,5620,64,10,0.9377593360995851,0.9371632137285099,140.29047989845276,0.22739100456237793,30,392
1,28,bayeswweighting,5620,64,10,0.9531713100177831,0.9527434113222881,398.2993760108948,0.2734549045562744,64,638
1,29,baseline,653,15,2,0.8469387755102041,0.8427471116816432,4.76837158203125e-07,0.013842582702636719,15,0
1,29,intercorrelation_filter,653,15,2,0.8520408163265306,0.8477241674926996,0.0066182613372802734,0.013017416000366211,14,0
1,29,correlation_weighting,653,15,2,0.9081632653061225,0.9071969696969697,0.0066182613372802734,0.01661849021911621,14,0
1,29,tree_based_filter,653,15,2,0.7142857142857143,0.710640092797638,0.11674880981445312,0.012526750564575195,7,0
1,29,tree_based_weighting,653,15,2,0.7193877551020408,0.7139597208586514,0.11674880981445312,0.013875246047973633,7,0
1,29,l1filter,653,15,2,0.8775510204081632,0.8756871035940803,0.002573251724243164,0.01189279556274414,4,0
1,29,relieff,653,15,2,0.9030612244897959,0.9011860853875342,0.028712034225463867,0.012022733688354492,11,0
1,29,relieff_weighting,653,15,2,0.9030612244897959,0.9017077097685222,0.028712034225463867,0.015578985214233398,11,0
1,29,forward_selection,653,15,2,0.9030612244897959,0.9027549288418855,0.2956430912017822,0.011134862899780273,1,0
1,29,backwards_selection,653,15,2,0.9030612244897959,0.9014580191050778,0.4118955135345459,0.012555122375488281,13,0
1,29,stepwise_selection,653,15,2,0.8622448979591837,0.8599666587282686,0.4387850761413574,0.011983633041381836,9,0
1,29,bayesselection,653,15,2,0.9081632653061225,0.9071969696969697,16.033405780792236,0.013219118118286133,10,254
1,29,bayeswweighting,653,15,2,0.8979591836734694,0.8972746331236898,45.48540472984314,0.017886638641357422,15,459
1,31,baseline,1000,20,2,0.7766666666666666,0.6296910407339855,2.384185791015625e-07,0.036218881607055664,20,0
1,31,intercorrelation_filter,1000,20,2,0.7766666666666666,0.6296910407339855,0.018612146377563477,0.08029913902282715,20,0
1,31,correlation_weighting,1000,20,2,0.77,0.6919597017812765,0.018612146377563477,0.07287406921386719,20,0
1,31,tree_based_filter,1000,20,2,0.7133333333333334,0.4920859910229152,0.17471647262573242,0.01817941665649414,10,0
1,31,tree_based_weighting,1000,20,2,0.73,0.5523130492455646,0.17471647262573242,0.017893552780151367,10,0
1,31,l1filter,1000,20,2,0.7566666666666667,0.6474054515303247,0.0026874542236328125,0.016446352005004883,7,0
1,31,relieff,1000,20,2,0.7366666666666667,0.5507194176413717,0.04702329635620117,0.01601552963256836,15,0
1,31,relieff_weighting,1000,20,2,0.73,0.5393452256829254,0.04702329635620117,0.023966550827026367,15,0
1,31,forward_selection,1000,20,2,0.7166666666666667,0.5937873357228196,0.9102704524993896,0.013727664947509766,3,0
1,31,backwards_selection,1000,20,2,0.7566666666666667,0.5965290443818051,0.9386708736419678,0.04017782211303711,17,0
1,31,stepwise_selection,1000,20,2,0.7466666666666667,0.6268412438625205,0.5194261074066162,0.014983415603637695,11,0
1,31,bayesselection,1000,20,2,0.7533333333333333,0.6282901346192485,29.691105127334595,0.017120361328125,11,290
1,31,bayeswweighting,1000,20,2,0.7666666666666667,0.6563011456628478,88.4552960395813,0.0580596923828125,20,878
1,32,baseline,10992,16,10,0.9651303820497271,0.9652724869498183,4.76837158203125e-07,0.7362060546875,16,0
1,32,intercorrelation_filter,10992,16,10,0.9651303820497271,0.9652724869498183,0.019183635711669922,0.7146956920623779,16,0
1,32,correlation_weighting,10992,16,10,0.9326864766525167,0.9327223705272314,0.019183635711669922,0.7323038578033447,16,0
1,32,tree_based_filter,10992,16,10,0.8450576106731352,0.845519632046457,0.8097507953643799,0.14144611358642578,8,0
1,32,tree_based_weighting,10992,16,10,0.8520315342631898,0.8515568223476061,0.8097507953643799,0.11540055274963379,8,0
1,32,l1filter,10992,16,10,0.9651303820497271,0.9652724869498183,0.9560167789459229,0.7332253456115723,16,0
1,32,relieff,10992,16,10,0.9581564584596726,0.958386480996481,0.6494266986846924,0.14311766624450684,12,0
1,32,relieff_weighting,10992,16,10,0.9439053972104305,0.9439809053603533,0.6494266986846924,0.16791582107543945,12,0
1,32,forward_selection,10992,16,10,0.9299575500303214,0.9292329764257646,11.424113750457764,0.12868618965148926,8,0
1,32,backwards_selection,10992,16,10,0.9633110976349303,0.9632360693840635,4.286211729049683,0.17119812965393066,15,0
1,32,stepwise_selection,10992,16,10,0.9393571861734384,0.9382419883219987,4.826643228530884,0.18481135368347168,10,0
1,32,bayesselection,10992,16,10,0.9633110976349303,0.9632360693840635,66.39069771766663,0.30638790130615234,15,216
1,32,bayeswweighting,10992,16,10,0.9690721649484536,0.9690285515994581,343.40457582473755,0.672471284866333,16,360
